Zins/Laufzeit;Produkt;Effektivzins;Laufzeit;Faktor;Nominalzins
0,6|65|;9;0,6;65;1,66;0,7
0,6|66|;9;0,6;66;1,679;0,6
0,6|67|;9;0,6;67;1,706;0,6
0,6|68|;9;0,6;68;1,728;0,6
0,6|69|;9;0,6;69;1,761;0,7
0,6|70|;9;0,6;70;1,78;0,6
0,6|71|;9;0,6;71;1,799;0,6
0,6|72|;9;0,6;72;1,836;0,7
0,7|6|;9;0,7;6;0,203;0,7
0,7|7|;9;0,7;7;0,233;0,7
0,7|8|;9;0,7;8;0,262;0,7
0,7|9|;9;0,7;9;0,29;0,7
0,7|10|;9;0,7;10;0,32;0,7
0,7|11|;9;0,7;11;0,348;0,7
0,7|12|;9;0,7;12;0,377;0,7
0,7|13|;9;0,7;13;0,406;0,7
0,7|14|;9;0,7;14;0,436;0,7
0,7|15|;9;0,7;15;0,467;0,7
0,7|16|;9;0,7;16;0,496;0,7
0,7|17|;9;0,7;17;0,524;0,7
0,7|18|;9;0,7;18;0,551;0,7
0,7|19|;9;0,7;19;0,582;0,7
0,7|20|;9;0,7;20;0,612;0,7
0,7|21|;9;0,7;21;0,64;0,7
0,7|22|;9;0,7;22;0,672;0,8
0,7|23|;9;0,7;23;0,698;0,7
0,7|24|;9;0,7;24;0,728;0,7
0,7|25|;9;0,7;25;0,76;0,7
0,7|26|;9;0,7;26;0,786;0,7
0,7|27|;9;0,7;27;0,818;0,7
0,7|28|;9;0,7;28;0,844;0,7
0,7|29|;9;0,7;29;0,873;0,7
0,7|30|;9;0,7;30;0,902;0,7
0,7|31|;9;0,7;31;0,936;0,8
0,7|32|;9;0,7;32;0,96;0,7
0,7|33|;9;0,7;33;0,993;0,7
0,7|34|;9;0,7;34;1,02;0,7
0,7|35|;9;0,7;35;1,052;0,7
0,7|36|;9;0,7;36;1,08;0,7
0,7|37|;9;0,7;37;1,106;0,7
0,7|38|;9;0,7;38;1,14;0,7
0,7|39|;9;0,7;39;1,166;0,7
0,7|40|;9;0,7;40;1,2;0,8
0,7|41|;9;0,7;41;1,229;0,7
0,7|42|;9;0,7;42;1,253;0,7
0,7|43|;9;0,7;43;1,282;0,7
0,7|44|;9;0,7;44;1,314;0,7
0,7|45|;9;0,7;45;1,34;0,7
0,7|46|;9;0,7;46;1,374;0,7
0,7|47|;9;0,7;47;1,397;0,7
0,7|48|;9;0,7;48;1,433;0,7
0,7|49|;9;0,7;49;1,459;0,7
0,7|50|;9;0,7;50;1,49;0,7
0,7|51|;9;0,7;51;1,52;0,7
0,7|52|;9;0,7;52;1,545;0,7
0,7|53|;9;0,7;53;1,579;0,7
0,7|54|;9;0,7;54;1,606;0,7
0,7|55|;9;0,7;55;1,64;0,7
0,7|56|;9;0,7;56;1,662;0,7
0,7|57|;9;0,7;57;1,699;0,7
0,7|58|;9;0,7;58;1,72;0,7
0,7|59|;9;0,7;59;1,751;0,7
0,7|60|;9;0,7;60;1,784;0,7
0,7|61|;9;0,7;61;1,809;0,7
0,7|62|;9;0,7;62;1,841;0,7
0,7|63|;9;0,7;63;1,871;0,7
0,7|64|;9;0,7;64;1,9;0,7
0,7|65|;9;0,7;65;1,933;0,7
0,7|66|;9;0,7;66;1,956;0,7
0,7|67|;9;0,7;67;1,987;0,7
0,7|68|;9;0,7;68;2,013;0,7
0,7|69|;9;0,7;69;2,051;0,7
0,7|70|;9;0,7;70;2,074;0,7
0,7|71|;9;0,7;71;2,112;0,7
0,7|72|;9;0,7;72;2,139;0,7
0,8|6|;9;0,8;6;0,232;0,8
0,8|7|;9;0,8;7;0,265;0,8
0,8|8|;9;0,8;8;0,299;0,8
0,8|9|;9;0,8;9;0,332;0,8
0,8|10|;9;0,8;10;0,366;0,8
0,8|11|;9;0,8;11;0,399;0,8
0,8|12|;9;0,8;12;0,432;0,8
0,8|13|;9;0,8;13;0,466;0,8
0,8|14|;9;0,8;14;0,497;0,8
0,8|15|;9;0,8;15;0,533;0,8
0,8|16|;9;0,8;16;0,566;0,8
0,8|17|;9;0,8;17;0,599;0,8
0,8|18|;9;0,8;18;0,63;0,8
0,8|19|;9;0,8;19;0,665;0,8
0,8|20|;9;0,8;20;0,7;0,8
0,8|21|;9;0,8;21;0,732;0,8
0,8|22|;9;0,8;22;0,764;0,8
0,8|23|;9;0,8;23;0,799;0,8
0,8|24|;9;0,8;24;0,833;0,8
0,8|25|;9;0,8;25;0,865;0,8
0,8|26|;9;0,8;26;0,9;0,8
0,8|27|;9;0,8;27;0,931;0,8
0,8|28|;9;0,8;28;0,968;0,8
0,8|29|;9;0,8;29;1,001;0,8
0,8|30|;9;0,8;30;1,034;0,8
0,8|31|;9;0,8;31;1,066;0,8
0,8|32|;9;0,8;32;1,1;0,8
0,8|33|;9;0,8;33;1,131;0,8
0,8|34|;9;0,8;34;1,163;0,8
0,8|35|;9;0,8;35;1,199;0,8
0,8|36|;9;0,8;36;1,232;0,8
0,8|37|;9;0,8;37;1,269;0,8
0,8|38|;9;0,8;38;1,3;0,8
0,8|39|;9;0,8;39;1,337;0,8
0,8|40|;9;0,8;40;1,368;0,8
0,8|41|;9;0,8;41;1,401;0,8
0,8|42|;9;0,8;42;1,438;0,8
0,8|43|;9;0,8;43;1,471;0,8
0,8|44|;9;0,8;44;1,499;0,8
0,8|45|;9;0,8;45;1,538;0,8
0,8|46|;9;0,8;46;1,568;0,8
0,8|47|;9;0,8;47;1,604;0,8
0,8|48|;9;0,8;48;1,635;0,8
0,8|49|;9;0,8;49;1,665;0,8
0,8|50|;9;0,8;50;1,7;0,8
0,8|51|;9;0,8;51;1,734;0,8
0,8|52|;9;0,8;52;1,774;0,8
0,8|53|;9;0,8;53;1,802;0,8
0,8|54|;9;0,8;54;1,833;0,8
0,8|55|;9;0,8;55;1,871;0,8
0,8|56|;9;0,8;56;1,908;0,8
0,8|57|;9;0,8;57;1,938;0,8
0,8|58|;9;0,8;58;1,975;0,8
0,8|59|;9;0,8;59;2,011;0,8
0,8|60|;9;0,8;60;2,036;0,8
0,8|61|;9;0,8;61;2,077;0,8
0,8|62|;9;0,8;62;2,101;0,8
0,8|63|;9;0,8;63;2,135;0,8
0,8|64|;9;0,8;64;2,169;0,8
0,8|65|;9;0,8;65;2,206;0,8
0,8|66|;9;0,8;66;2,247;0,8
0,8|67|;9;0,8;67;2,268;0,8
0,8|68|;9;0,8;68;2,312;0,8
0,8|69|;9;0,8;69;2,34;0,8
0,8|70|;9;0,8;70;2,382;0,8
0,8|71|;9;0,8;71;2,41;0,8
0,8|72|;9;0,8;72;2,441;0,8
0,9|6|;9;0,9;6;0,261;0,9
0,9|7|;9;0,9;7;0,298;0,9
0,9|8|;9;0,9;8;0,336;0,9
0,9|9|;9;0,9;9;0,373;0,9
0,9|10|;9;0,9;10;0,412;0,9
0,9|11|;9;0,9;11;0,449;0,9
0,9|12|;9;0,9;12;0,485;0,9
0,9|13|;9;0,9;13;0,523;0,9
0,9|14|;9;0,9;14;0,562;0,9
0,9|15|;9;0,9;15;0,599;0,9
0,9|16|;9;0,9;16;0,636;0,9
0,9|17|;9;0,9;17;0,674;0,9
0,9|18|;9;0,9;18;0,71;0,9
0,9|19|;9;0,9;19;0,749;0,9
0,9|20|;9;0,9;20;0,788;0,9
0,9|21|;9;0,9;21;0,825;0,9
0,9|22|;9;0,9;22;0,861;0,9
0,9|23|;9;0,9;23;0,901;0,9
0,9|24|;9;0,9;24;0,934;0,9
0,9|25|;9;0,9;25;0,975;0,9
0,9|26|;9;0,9;26;1,01;0,9
0,9|27|;9;0,9;27;1,05;0,9
0,9|28|;9;0,9;28;1,085;0,9
0,9|29|;9;0,9;29;1,123;0,9
0,9|30|;9;0,9;30;1,16;0,9
0,9|31|;9;0,9;31;1,202;0,9
0,9|32|;9;0,9;32;1,235;0,9
0,9|33|;9;0,9;33;1,277;0,9
0,9|34|;9;0,9;34;1,313;0,9
0,9|35|;9;0,9;35;1,353;0,9
